time,instance,orders,time,averager_per_truck
2023-12-18.13:58:37,./INPUT/01.txt,50,261446,5.00
2023-12-18.13:58:37,./INPUT/02.txt,50,295293,5.00
2023-12-18.13:58:38,./INPUT/03.txt,99,486138,6.60
2023-12-18.13:58:37,./INPUT/04.txt,100,640838,5.00
2023-12-18.13:58:38,./INPUT/05.txt,172,698005,8.60
2023-12-18.14:03:37,./INPUT/06.txt,200,1015435,6.67
2023-12-18.14:04:12,./INPUT/07.txt,450,1734661,9.00
2023-12-18.14:03:39,./INPUT/08.txt,500,2683290,6.25
2023-12-18.14:03:45,./INPUT/09.txt,513,1727991,10.26
2023-12-18.14:04:03,./INPUT/10.txt,562,2084213,9.37
2023-12-18.14:09:01,./INPUT/11.txt,630,2425040,9.00
2023-12-18.14:09:01,./INPUT/12.txt,667,2747430,8.34
2023-12-18.14:08:52,./INPUT/13.txt,733,3075423,8.14
2023-12-18.14:09:40,./INPUT/14.txt,878,3467618,8.78
2023-12-18.14:09:33,./INPUT/15.txt,810,3467657,8.10
2023-12-18.14:18:26,./INPUT/01.txt,50,258440,5.00
2023-12-18.14:18:27,./INPUT/02.txt,50,304545,5.00
2023-12-18.14:18:31,./INPUT/03.txt,100,509389,6.67
2023-12-18.14:18:26,./INPUT/04.txt,100,634814,5.00
2023-12-18.14:18:29,./INPUT/05.txt,164,688275,8.20
2023-12-18.14:23:28,./INPUT/06.txt,200,1029528,6.67
2023-12-18.14:23:55,./INPUT/07.txt,443,1727553,8.86
2023-12-18.14:23:28,./INPUT/08.txt,500,2690891,6.25
2023-12-18.14:24:13,./INPUT/09.txt,507,1720708,10.14
2023-12-18.14:23:52,./INPUT/10.txt,564,2066474,9.40
2023-12-18.14:28:51,./INPUT/11.txt,626,2428496,8.94
2023-12-18.14:28:54,./INPUT/12.txt,661,2727493,8.26
2023-12-18.14:29:08,./INPUT/13.txt,733,3081277,8.14
2023-12-18.14:29:06,./INPUT/14.txt,882,3462416,8.82
2023-12-18.14:29:14,./INPUT/15.txt,791,3444583,7.91
2023-12-18.14:35:00,./INPUT/01.txt,50,162609,5.00
2023-12-18.14:35:00,./INPUT/02.txt,50,302213,5.00
2023-12-18.14:35:01,./INPUT/03.txt,96,493199,6.40
2023-12-18.14:35:00,./INPUT/04.txt,100,525611,5.00
2023-12-18.14:35:01,./INPUT/05.txt,171,694435,8.55
2023-12-18.14:40:00,./INPUT/06.txt,192,980528,6.40
2023-12-18.14:40:03,./INPUT/07.txt,436,1699470,8.72
2023-12-18.14:40:01,./INPUT/08.txt,498,2607855,6.22
2023-12-18.14:40:06,./INPUT/09.txt,514,1726180,10.28
2023-12-18.14:40:06,./INPUT/10.txt,571,2082816,9.52
2023-12-18.14:45:03,./INPUT/12.txt,690,2750128,8.62
2023-12-18.14:45:04,./INPUT/13.txt,749,3073402,8.32
2023-12-18.14:45:04,./INPUT/11.txt,637,2441575,9.10
2023-12-18.14:45:09,./INPUT/14.txt,855,3418035,8.55
2024-04-11.14:35:11,./INPUT/05.txt,165,689192,8.25
2024-04-11.14:39:28,./INPUT/05.txt,163,682681,8.15
2024-04-11.14:40:59,./INPUT/05.txt,162,670965,8.10
2024-04-11.14:43:24,./INPUT/05.txt,166,670995,8.30
2024-04-11.14:48:52,./INPUT/05.txt,170,665839,8.50
2024-04-11.14:59:46,./INPUT/05.txt,163,657537,8.15
2024-04-11.14:59:51,./INPUT/05.txt,167,686966,8.35
2024-04-11.14:59:56,./INPUT/05.txt,169,665122,8.45
2024-04-11.15:00:01,./INPUT/05.txt,174,685597,8.70
2024-04-11.15:00:06,./INPUT/05.txt,167,673979,8.35
